"Casa Perbellini 12 Apostoli,""vicolo Corticella San Marco 3, Verona, 37121, 義大利"""
"noma,""Refshalevej 96, Copenhagen, 1432 K, 丹麥"""
"Odette, ""National Gallery, #01-04, 1 St. Andrew's Road (entrance via Supreme Court wing's foyer), Singapore, 178957, 新加坡"""
"Frantzén,""Klara Norra Kyrkogata 26, Stockholm, 111 22, 瑞典"""
"Geranium,""Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, 丹麥"""
"Jordnær,""Gentoftegade 29, Gentofte, 2800, 丹麥"""
"Taian, ""1-21-2 Shimanouchi, Chuo-ku, Osaka, 542-0082, 日本"""
"RE, ""Nordbøgata 8, Stavanger, 4006, 挪威"""
"HAJIME, ""1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, 日本"""
"Hyotei, ""35 Nanzenji Kusagawacho, Sakyo-ku, Kyoto, 606-8437, 日本"""
"Maaemo,""Dronning Eufemias gate 23, Oslo, 0194, 挪威"""
"Kikunoi Honten, ""459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, 日本"""
"Gion Sasaki, ""566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, 日本"""
"Mizai, ""613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, 日本"""
"Isshisoden Nakamura, ""136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, 日本"""
"Restaurant Bareiss, ""Hermine-Bareiss-Weg 1, Baiersbronn, 72270, 德國"""
"JAN,""Luisenstraße 27, München, 80333, 德國"""
"The Table Kevin Fehling,""Shanghaiallee 15, Hamburg, 20457, 德國"""
"Kashiwaya Osaka Senriyama, ""2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, 日本"""
"Rutz,""Chausseestraße 8, Berlin, 10115, 德國"""
"ES:SENZ,""Mietenkamer Straße 65, Grassau, 83224, 德國"""
"Waldhotel Sonnora,""Auf'm Eichelfeld 1, Dreis, 54518, 德國"""
"Aqua,""Parkstraße 1, Wolfsburg, 38440, 德國"""
"Schwarzwaldstube,""Tonbachstraße 237, Baiersbronn, 72270, 德國"""
"Victor's Fine Dining by christian bau,""Schlossstraße 27, Perl, 66706, 德國"""
"AM par Alexandre Mazzia, ""9 rue François-Rocca, Marseille, 13008, 法國"""
"Mirazur, ""30 avenue Aristide-Briand, Menton, 06500, 法國"""
"Pierre Gagnaire,""6 rue Balzac, Paris, 75008, 法國"""
"La Table du Castellet, ""3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, 法國"""
"schanz. restaurant.,""Bahnhofstraße 8a, Piesport, 54498, 德國"""
"Plénitude, ""8 quai du Louvre, Paris, 75001, 法國"""
"Le Petit Nice,""Anse de Maldormé, Marseille, 13007, 法國"""
"L'Ambroisie,""9 place des Vosges, Paris, 75004, 法國"""
"Pic, ""285 avenue Victor-Hugo, Valence, 26000, 法國"""
"Flocons de Sel,""1775 route du Leutaz, Le Leutaz, Megève, 74120, 法國"""
"Alléno Paris au Pavillon Ledoyen,""8 avenue Dutuit, Paris, 75008, 法國"""
"Le Pré Catelan, ""Route de Suresnes - bois de Boulogne, Paris, 75016, 法國"""
"Le Gabriel, ""La Réserve Paris, 42 avenue Gabriel, Paris, 75008, 法國"""
"Restaurant Marcon, ""Larsiallas, 18 chemin de Brard, Saint-Bonnet-le-Froid, 43290, 法國"""
"Maison Lameloise,""36 place d'Armes, Chagny, 71150, 法國"""
"Le Louis XV, ""Place du Casino, Monaco, 98000, 法國"""
"Le Cinq, ""Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, 法國"""
"Arpège,""84 rue de Varenne, Paris, 75007, 法國"""
"Kei, ""5 rue du Coq-Héron, Paris, 75001, 法國"""
"Georges Blanc,""Place du Marché, Vonnas, 01540, 法國"""
"La Villa Madie,""Avenue de Revestel, Cassis, 13260, 法國"""
"La Vague d'Or, ""Plage de la Bouillabaisse, Saint-Tropez, 83990, 法國"""
"8 1/2 Otto e Mezzo, ""Shop 202, 2F, Alexandra House, 18 Chater Road, Central, Hong Kong, 香港"""
"Martín Berasategui, ""Loidi 4, Lasarte - Oria, 20160, 西班牙"""
"Lasarte,""Mallorca 259, Barcelona, 08008, 西班牙"""
"Cenador de Amós,""Plaza del Sol, Villaverde de Pontones, 39793, 西班牙"""
"Akelaŕe,""Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, 西班牙"""
"Disfrutar,""Villarroel 163, Barcelona, 08036, 西班牙"""
"Quique Dacosta,""Rascassa 1, Dénia, 03700, 西班牙"""
"Cocina Hermanos Torres,""Taquígraf Serra 20, Barcelona, 08029, 西班牙"""
"Atrio,""Plaza San Mateo 1, Cáceres, 10003, 西班牙"""
"Arzak,""Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, 西班牙"""
"The Inn at Little Washington,""309 Middle St., Washington, 22747, 美國"""
"Noor,""Pablo Ruiz Picasso 8, Córdoba, 14014, 西班牙"""
"ABaC,""Avenida del Tibidabo 1, Barcelona, 08022, 西班牙"""
"Per Se,""10 Columbus Circle, New York, 10019, 美國"""
"Masa,""10 Columbus Circle, New York, 10019, 美國"""
"Amador,""Grinzinger Straße 86, Wien, 1190, 奧地利"""
"DiverXO,""Padre Damián 23, Madrid, 28036, 西班牙"""
"Alinea,""1723 N. Halsted St., Chicago, 60614, 美國"""
"Le Bernardin,""155 W. 51st St., New York, 10019, 美國"""
"Eleven Madison Park,""11 Madison Ave., New York, 10010, 美國"""
"Smyth,""177 N. Ada St., Chicago, 60607, 美國"""
"Assiette Champenoise, ""40 avenue Paul-Vaillant-Couturier, à Tinqueux, Reims, 51430, 法國"""
"L'Oustau de Baumanière, ""Mas de Baumanière, Les Baux-de-Provence, 13520, 法國"""
"Épicure, ""Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, 法國"""
"Le 1947 à Cheval Blanc,""Le Jardin Alpin, Courchevel 1850, Courchevel, 73120, 法國"""
"Troisgros, ""728 route de Villerest, Ouches, 42155, 法國"""
"Auberge du Vieux Puits, ""5 avenue Saint-Victor, Fontjoncouse, 11360, 法國"""
"Les Prés d'Eugénie, ""Place de l'Impératrice, Eugénie-les-Bains, 40320, 法國"""
"La Marine, ""3 rue Marie-Lemonnier, L'Herbaudière, 85330, 法國"""
"Caprice,""6F, Four Seasons Hotel, 8 Finance Street, Central, Hong Kong, 香港"""
"Le Clos des Sens, ""13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, 法國"""
"Jade Dragon,""2F, The Shops at the Boulevard, City of Dreams, Estrada do Istmo, Cotai, Macau, 澳門"""
"L'Atelier de Joël Robuchon,""Shop 401, 4F, Landmark Atrium, 15 Queen's Road Central, Hong Kong, 香港"""
"Ta Vie,""2F, The Pottinger Hotel, 21 Stanley Street, Central, Hong Kong, 香港"""
"Robuchon au Dôme,""43F, Grand Lisboa Hotel, Avenida de Lisboa, Macau, Macau, 澳門"""
"Boury,""Rumbeeksesteenweg 300, Roeselare, 8800, 比利時"""
"Forum, ""1F, Sino Plaza, 255-257 Gloucester Road, Causeway Bay, Hong Kong, 香港"""
"Alain Ducasse at The Dorchester,""Park Lane, Mayfair, London, W1K 1QA, 英國"""
"T'ang Court, ""1-2F, The Langham Hotel, 8 Peking Road, Tsim Sha Tsui, Hong Kong, 香港"""
"Zilte,""Hanzestedenplaats 5, Antwerpen, 2000, 比利時"""
"L'Enclume,""Cavendish Street, Cartmel, LA11 6QA, 英國"""
"El Celler de Can Roca,""Can Sunyer 48, Girona, 17007, 西班牙"""
"""Sketch, The Lecture Room and Library"",""9 Conduit Street, Mayfair, London, W1S 2XG, 英國"""
"Fat Duck,""High Street, Bray, SL6 2AQ, 英國"""
"Sushi Shikon,""7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Central, Hong Kong, 香港"""
"CORE by Clare Smyth,""92 Kensington Park Road, Notting Hill, London, W11 2PN, 英國"""
"Hélène Darroze at The Connaught,""Carlos Place, Mayfair, London, W1K 2AL, 英國"""
"Azurmendi,""Legina Auzoa, Larrabetzu, 48195, 西班牙"""
"Waterside Inn,""Ferry Road, Bray, SL6 2AT, 英國"""
"Aponiente,""Francisco Cossi Ochoa, El Puerto de Santa María, 11500, 西班牙"""
"Restaurant Gordon Ramsay, ""68-69 Royal Hospital Road, Chelsea, London, SW3 4HP, 英國"""
"The Ledbury,""127 Ledbury Road, Notting Hill, London, W11 2AQ, 英國"""
