"Canton 8 (Huangpu),""63 Runan Street, Huangpu, Shanghai, 中國"""
"Stucki, ""Bruderholzallee 42, Basel, 4059, 瑞士"""
"Seizan, ""B1F, 2-17-29 Mita, Minato-ku, Tokyo, 108-0073, 日本"""
"PRISMA, ""6-4-6 Minamiaoyama, Minato-ku, Tokyo, 107-0062, 日本"""
"ASAHINA Gastronome, ""1-4 Nihombashikabutocho, Chuo-ku, Tokyo, 103-0026, 日本"""
"Tempura Motoyoshi, ""3F, 2-8-11 Ebisunishi, Shibuya-ku, Tokyo, 150-0021, 日本"""
"Tempura Kondo, ""9F, 5-5-13 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"MAZ, ""3F, Tokyo Garden Terrace Kioicho, 1-3 Kioicho, Chiyoda-ku, Tokyo, 102-0094, 日本"""
"HOMMAGE, ""4-10-5 Asakusa, Taito-ku, Tokyo, 111-0032, 日本"""
"Tempura Ginya, ""B1F, 5-17-9 Shirokanedai, Minato-ku, Tokyo, 108-0071, 日本"""
"Kioicho Fukudaya, ""1-13 Kioicho, Chiyoda-ku, Tokyo, 102-0094, 日本"""
"Florilège, ""2F, Azabudai Hills Garden Plaza D, 5-10-7 Toranomon, Minato-ku, Tokyo, 105-0001, 日本"""
"Den, ""2-3-18 Jingumae, Shibuya-ku, Tokyo, 150-0001, 日本"""
"Ginza Fukuju, ""5F, 8-8-19 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"ESqUISSE, ""9F, 5-4-6 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Ginza Kojyu, ""4F, 5-4-8 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Crony, ""1-20-3 Higashiazabu, Minato-ku, Tokyo, 106-0044, 日本"""
"Sukiyabashi Jiro Roppongiten, ""3F, Roppongi Hills Residence B, 6-12-2 Roppongi, Minato-ku, Tokyo, 106-0032, 日本"""
"Ryuzu, ""B1F, 4-2-35 Roppongi, Minato-ku, Tokyo, 106-0032, 日本"""
"Akasaka Kikunoi, ""6-13-8 Akasaka, Minato-ku, Tokyo, 107-0052, 日本"""
"Kutan, ""2-5-5 Shintomi, Chuo-ku, Tokyo, 104-0041, 日本"""
"NARISAWA, ""2-6-15 Minamiaoyama, Minato-ku, Tokyo, 107-0062, 日本"""
"Jingumae Higuchi, ""2-19-12 Jingumae, Shibuya-ku, Tokyo, 150-0001, 日本"""
"Ginza Shinohara, ""B1F, 2-8-17 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"ZURRIOLA, ""4F, Kojun Bldg, 6-8-7 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Shanghai Cuisine,""South side of Pacific Century Place, 2A Gongrentiyuchang North Road, Chaoyang, Beijing, 中國"""
"Sushi Kanesaka, ""B1F, 8-10-3 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Flore,""Nieuwe Doelenstraat 2, Amsterdam, 1012 CP, 荷蘭"""
"King's Joy,""2 Wudaoying Hutong, Dongcheng, Beijing, 中國"""
"Jingji, ""2F, The Ritz-Carlton Hotel, 83A Jianguo Road, Chaoyang, Beijing, 中國"""
"Lu Shang Lu, ""2A01-2A03 / 2A05-2A13, 2F, Sunshine Financial Center, No.1 Tower, 33 Jinghui Street, Chaoyang, Beijing, 中國"""
"De Groene Lantaarn,""Gemeenteweg 364, Staphorst, 7951 PG, 荷蘭"""
"De Lindehof,""Beekstraat 1, Nuenen, 5671 CS, 荷蘭"""
"Vinkeles,""Keizersgracht 384, Amsterdam, 1016 GB, 荷蘭"""
"De Bokkedoorns,""Zeeweg 53, Overveen, 2051 EB, 荷蘭"""
"Restaurant 212,""Amstel 212, Amsterdam, 1017 AH, 荷蘭"""
"De Nieuwe Winkel,""Gebroeders Van Limburgplein 7, Nijmegen, 6511 BW, 荷蘭"""
"Spectrum,""Herengracht 542, Amsterdam, 1017 CG, 荷蘭"""
"Parkheuvel,""Heuvellaan 21, Rotterdam, 3016 GL, 荷蘭"""
"Tribeca,""Jan Deckersstraat 7, Heeze, 5591 HN, 荷蘭"""
"Inter Scaldes,""Zandweg 2, Kruiningen, 4416 NA, 荷蘭"""
"De Treeswijkhoeve,""Valkenswaardseweg 14, Waalre, 5582 VB, 荷蘭"""
"'t Nonnetje,""Vischmarkt 38, Harderwijk, 3841 BG, 荷蘭"""
"De Lindenhof,""Beulakerweg 77, Giethoorn, 8355 AC, 荷蘭"""
"Aan de Poel,""Handweg 1, Amstelveen, 1185 TS, 荷蘭"""
"Ciel Bleu,""Ferdinand Bolstraat 333, Amsterdam, 1072 LH, 荷蘭"""
"Brut172,""Reijmerstokkerdorpsstraat 143, Reijmerstok, 6274 NK, 荷蘭"""
"Sushi Masaki Saito,""88 Avenue Rd., Toronto, M5R 2H2, 加拿大"""
"Fred,""Boompjes 41, Rotterdam, 3011 XC, 荷蘭"""
"Xin Rong Ji,""No. 501, 5F, Chinese Financial Center, 33 Jiaozi Avenue, Wuhou, Chengdu, 中國"""
"FG, ""Katshoek 37B, Rotterdam, 3032 AE, 荷蘭"""
"Yu Zhi Lan, ""24-1 Changfa Street, Qingyang, Chengdu, 中國"""
"渥達尼斯磨坊,""中山區建國北路一段61號 (慕舍酒店), Taipei, 10491, 臺灣"""
"Sons & Daughters,""708 Bush St., San Francisco, 94108, 美國"""
"logy,""大安區安和路一段109巷6號, Taipei, 106, 臺灣"""
"RAW,""中山區樂群三路301號, Taipei, 104, 臺灣"""
"Hayato,""1320 E. 7th St., Ste. 126, Los Angeles, 90021, 美國"""
"Vespertine,""3599 Hayden Ave., Culver City, 90232, 美國"""
"侯布雄,""信義區松仁路28號5樓 (寶麗廣場), Taipei, 110, 臺灣"""
"牡丹,""大安區四維路52巷17號, Taipei, 106, 臺灣"""
"Providence,""5955 Melrose Ave., Hollywood, 90038, 美國"""
"Aubergine, ""Monte Verde at 7th Ave., Carmel-by-the-Sea, 93921, 美國"""
"Birdsong,""1085 Mission St., San Francisco, 94103, 美國"""
"Commis,""3859 Piedmont Ave., Oakland, 94611, 美國"""
"Acquerello,""1722 Sacramento St., San Francisco, 94109, 美國"""
"Harbor House, ""5600 CA-1, Elk, 95432, 美國"""
"Mélisse,""1104 Wilshire Blvd., Santa Monica, 90401, 美國"""
"Trèsind Studio,""St. Regis Gardens, The Palm Jumeirah, 杜拜"""
"Row on 45,""45th Floor, Tower 2, Grosvenor House Hotel, Al Emreef Street, Dubai Marina, 杜拜"""
"Saison,""178 Townsend St., San Francisco, 94107, 美國"""
"Il Ristorante, ""Bulgari Resort Dubai Hotel, Jumeirah Bay Island, Jumeirah 2, 杜拜"""
"Lazy Bear,""3416 19th St., San Francisco, 94110, 美國"""
"Californios,""355 11th St., San Francisco, 94103, 美國"""
"STAY by Yannick Alléno,""One&Only The Palm Hotel, West Crescent Road, The Palm Jumeirah, 杜拜"""
"Thevar,""9 Keong Saik Road, Singapore, 089117, 新加坡"""
"Agli Amici Rovinj, ""Šetalište Vijeća Europe 1-2, Rovinj, 52210, 克羅埃西亞"""
"Jaan by Kirk Westaway,""Swissôtel The Stamford, Equinox Complex, Level 70, 2 Stamford Road, Singapore, 178882, 新加坡"""
"Saint Pierre, ""One Fullerton, #02-02B, 1 Fullerton Road, Singapore, 049213, 新加坡"""
"Shoukouwa, ""One Fullerton, #02-02A, 1 Fullerton Road, Singapore, 049213, 新加坡"""
"Bottiglieria 1881,""ul. Bocheńska 5, Kraków, 31 061, 波蘭"""
"Meta,""9 Mohamed Sultan Road, Singapore, 238959, 新加坡"""
"Taian Table,""2F, LN Garden Hotel, 368 Huanshi East Road, Yuexiu, Guangzhou, 中國"""
"Jiang by Chef Fei,""3F, Mandarin Oriental Hotel, 389 Tianhe Road, Tianhe, Guangzhou, 中國"""
"Cloudstreet,""84 Amoy Street, Singapore, 069903, 新加坡"""
"Imperial Treasure Fine Chinese Cuisine,""L514B, 5F, IGC Mall, 222 Xingmin Road, Tianhe, Guangzhou, 中國"""
"Milka,""Vršiška cesta 45, Kranjska Gora, 4280, 斯洛維尼亞"""
"AIRA,""Biskopsvägen 9, Stockholm, 115 21, 瑞典"""
"Frederikshøj, ""Oddervej 19-21, Aarhus, 8000, 丹麥"""
"Palace,""Eteläranta 10, Helsinki, 00130, 芬蘭"""
"Kong Hans Kælder,""Vingaardsstræde 6, Copenhagen, 1070 K, 丹麥"""
"Vollmers,""Tegelgårdsgatan 5, Malmö, 211 33, 瑞典"""
"Kadeau Copenhagen,""Wildersgade 10B, Copenhagen, 1408, 丹麥"""
"Kontrast,""Maridalsveien 15, Oslo, 0175, 挪威"""
"Henne Kirkeby Kro,""Strandvejen 234, Henne, 6854, 丹麥"""
"Aloë,""Svartlösavägen 52, Stockholm, 125 33, 瑞典"""
"Alchemist,""Refshalevej 173C, Copenhagen, 1432 K, 丹麥"""
"Koan,""Langeliniekaj 5, Copenhagen, 2100, 丹麥"""
"VYN,""Höga vägen 72, Simrishamn, 272 92, 瑞典"""
"Evvai, ""Rua Joaquim Antunes 108, São Paulo, 05415-000, 巴西"""
"Oteque, ""Rua Conde de Irajá 581, Rio de Janeiro, 22271-020, 巴西"""
"Tuju, ""Rua Frei Galvão, 135, São Paulo, 01454-060, 巴西"""
"a|o|c,""Dronningens Tværgade 2, Copenhagen, 1302 K, 丹麥"""
"Oro, ""Avenida General San Martin 889, Rio de Janeiro, 22441-015, 巴西"""
"D.O.M., ""Rua Barão de Capanema 549, São Paulo, 01411-011, 巴西"""
"Lasai, ""Largo dos Leões 35, Humaitá, Rio de Janeiro, 22260-210, 巴西"""
"180° by Matthias Diether,""Staapli 4, Port Noblessner, Tallinn, 10415, 愛沙尼亞"""
"Quintonil,""Isaac Newton, 55, Polanco, Miguel Hildalgo, 11560, 墨西哥"""
"Tsukumo, ""968 Kideracho, Nara, Nara, 630-8306, 日本"""
"L'Atelier de Joël Robuchon Miami,""151 N.E. 41st St., Miami, 33137, 美國"""
"Oryori Hanagaki, ""2-13-2 Gakuen Minami, Nara, Nara, 631-0034, 日本"""
"Pujol,""Tennyson 133, Polanco, Miguel Hildalgo, 11550, 墨西哥"""
"Tenjimbashi Aoki, ""7-12-14 Tenjimbashi, Kita-ku, Osaka, 531-0041, 日本"""
"Koryu, ""3-3-3 Uchiawajimachi, Chuo-ku, Osaka, 540-0038, 日本"""
"NARA NIKON, ""3 Nabeyacho, Nara, Nara, 630-8264, 日本"""
"Miyamoto, ""2-10-28 Higashitemma, Kita-ku, Osaka, 530-0044, 日本"""
"akordu, ""70-1-3-1 Suimoncho, Nara, Nara, 630-8208, 日本"""
"Sojiki Nakahigashi, ""32-3 Jodoji Ishibashicho, Sakyo-ku, Kyoto, 606-8406, 日本"""
"La Cime, ""3-2-15 Kawaramachi, Chuo-ku, Osaka, 541-0048, 日本"""
"Gion Maruyama, ""570-171 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, 日本"""
"Fujiya 1935, ""2-4-14 Yariyamachi, Chuo-ku, Osaka, 540-0027, 日本"""
"VELROSIER, ""2F, Good Nature Station, 318-6 Inaricho, Shimogyo-ku, Kyoto, 600-8022, 日本"""
"Gion Matayoshi, ""570-123 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, 日本"""
"Ryō, ""570-166 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, 日本"""
"Yusokuryori Mankamero, ""387 Ebisucho, Kamigyo-ku, Kyoto, 602-8118, 日本"""
"Wagokoro Izumi, ""634-3 Nioitenjincho, Shimogyo-ku, Kyoto, 600-8414, 日本"""
"Ogata, ""726 Shinkamanzacho, Shimogyo-ku, Kyoto, 600-8471, 日本"""
"Sushi Harasho, ""3-30 Uenomiyacho, Tennoji-ku, Osaka, 543-0037, 日本"""
"Shimmonzen Yonemura, ""255 Umemotocho, Higashiyama-ku, Kyoto, 605-0064, 日本"""
"Yugen, ""14-14 Ishigatsujicho, Tennoji-ku, Osaka, 543-0031, 日本"""
"Gion Nishikawa, ""473 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, 日本"""
"Shunsaiten Tsuchiya, ""41-4 Toyotsucho, Suita, Osaka, 564-0051, 日本"""
"Kyokaiseki Kichisen, ""5 Shimogamo Morimotocho, Sakyo-ku, Kyoto, 606-0805, 日本"""
"Otagi, ""18 Takagamine Tsuchitenjocho, Kita-ku, Kyoto, 603-8465, 日本"""
"Miyamaso, ""375 Hanase Harachicho, Sakyo-ku, Kyoto, 601-1102, 日本"""
"Sumibi Kappo Ifuki, ""570-8 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, 日本"""
"Kikunoi Roan, ""118 Saitocho, Shimogyo-ku, Kyoto, 600-8012, 日本"""
"Kodaiji Wakuden, ""512 Washiocho, Higashiyama-ku, Kyoto, 605-0072, 日本"""
"KAHALA, ""2F, 1-9-2 Sonezakishinchi, Kita-ku, Osaka, 530-0002, 日本"""
"Kenninji Gion Maruyama, ""566-15 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, 日本"""
"Lakeside,""Fontenay 10, Hamburg, 20354, 德國"""
"Numata, ""7F, 1-10-2 Sonezakishinchi, Kita-ku, Osaka, 530-0002, 日本"""
"Courtier,""Parkallee 1, Weissenhaus, 23758, 德國"""
"ION Harbour by Simon Rogan,""11 St. Barbara Bastion, Valletta, VLT 1961, 馬爾他"""
"IKIGAI,""Elmau 2, Krün, 82493, 德國"""
"Lafleur,""Palmengartenstraße 11, Frankfurt am Main, 60325, 德國"""
"Mühle,""Unterer Mühlenweg 13, Schluchsee, 79859, 德國"""
"Ox & Klee,""Im Zollhafen 18, Köln, 50678, 德國"""
"Ösch Noir,""Golfplatz 1, Donaueschingen, 78166, 德國"""
"AURA by Alexander Herrmann & Tobias Bätz,""Marktplatz 11, Wirsberg, 95339, 德國"""
"Haerlin,""Neuer Jungfernstieg 9, Hamburg, 20354, 德國"""
"Ophelia,""Seestraße 25, Konstanz, 78464, 德國"""
"PUR,""Hintereck 1, Berchtesgaden, 83471, 德國"""
"etz,""Wiesentalstraße 40, Nürnberg, 90419, 德國"""
"CODA Dessert Dining,""Friedelstraße 47, Berlin, 12047, 德國"""
"Le Cerf,""Kärcherstraße 11, Zweiflingen, 74639, 德國"""
"Meierei Dirk Luther,""Uferstraße 1, Glücksburg, 24960, 德國"""
"Tim Raue, ""Rudi-Dutschke-Straße 26, Berlin, 10969, 德國"""
"Jante,""Marienstraße 116, Hannover, 30171, 德國"""
"Lorenz Adlon Esszimmer,""Unter den Linden 77, Berlin, 10117, 德國"""
"Tohru in der Schreiberei,""Burgstraße 5, München, 80331, 德國"""
"100/200 Kitchen,""Brandshofer Deich 68, Hamburg, 20539, 德國"""
"Tantris, ""Johann-Fichte-Straße 7, München, 80805, 德國"""
"FACIL,""Potsdamer Straße 3, Berlin, 10785, 德國"""
"Horváth, ""Paul-Lincke-Ufer 44a, Berlin, 10999, 德國"""
"bianc,""Am Sandtorkai 50, Hamburg, 20457, 德國"""
"Votum, ""Hannah-Arendt-Platz 1, Hannover, 30159, 德國"""
"L.A. Jordan,""Ketschauerhofstraße 1, Deidesheim, 67146, 德國"""
"GästeHaus Klaus Erfort,""Mainzer Straße 95, Saarbrücken, 66121, 德國"""
"Atelier,""Promenadeplatz 2, München, 80331, 德國"""
"ammolite, ""Peter-Thumb-Straße 6, Rust, 77977, 德國"""
"Coeur D'Artichaut,""Alter Fischmarkt 11A, Münster, 48143, 德國"""
"KOMU,""Hackenstraße 4, München, 80331, 德國"""
"Esplanade,""Nauwieserstraße 5, Saarbrücken, 66111, 德國"""
"OPUS V, ""O5, 9-12, Mannheim, 68161, 德國"""
"Essigbrätlein,""Weinmarkt 3, Nürnberg, 90403, 德國"""
"Söl'ring Hof,""Am Sandwall 1, Rantum, 25980, 德國"""
"Obendorfers Eisvogel,""Hofenstetten 55, Neunburg vorm Wald, 92431, 德國"""
"Gourmetrestaurant Dichter, ""Aribostraße 19, Rottach-Egern, 83700, 德國"""
"Steinheuers Restaurant Zur Alten Post, ""Landskroner Straße 110, Bad Neuenahr-Ahrweiler, 53474, 德國"""
"Speisemeisterei,""Schloss Hohenheim 1B, Stuttgart, 70599, 德國"""
"EssZimmer,""Am Olympiapark 1, München, 80809, 德國"""
"Vendôme,""Kadettenstraße, Bergisch Gladbach, 51429, 德國"""
"Le Pavillon,""Dollenberg 3, Bad Peterstal, 77740, 德國"""
"sein,""Scheffelstraße 57, Karlsruhe, 76135, 德國"""
"AUGUST, ""Johannes-Haag-Straße 14, Augsburg, 86153, 德國"""
"LOUIS restaurant, ""Prälat-Subtil-Ring 22, Saarlouis, 66740, 德國"""
"Hirschen,""Hauptstraße 69, Sulzburg, 79295, 德國"""
"Sylvestre Wahid, ""28 rue de l'Église, Courchevel 1850, Courchevel, 73120, 法國"""
"Anne de Bretagne, ""Port de Gravette, La Plaine-sur-Mer, 44770, 法國"""
"La Table des Amis by Christophe Bacquié,""Les Mas Les Eydins, 2420 chemin du Four, Bonnieux, 84480, 法國"""
"Les Ambassadeurs by Christophe Cussac, ""Hôtel Métropole Monte-Carlo, 4 avenue de la Madone, Monaco, 98000, 法國"""
"L'Abysse au Pavillon Ledoyen,""8 avenue Dutuit, Paris, 75008, 法國"""
"La Scène,""32 avenue Matignon, Paris, 75008, 法國"""
"La Voile, ""Chemin de la Quessine, Ramatuelle, 83350, 法國"""
"La Table Lionel Giraud, ""Rond-point de la Liberté - 68 avenue du Général-Leclerc, Narbonne, 11100, 法國"""
"Flaveur,""25 rue Gubernatis, Nice, 06000, 法國"""
"Alois, ""Dienerstraße 14, München, 80331, 德國"""
"Le Clarence, ""31 avenue Franklin-D.-Roosevelt, Paris, 75008, 法國"""
"L'Auberge des Glazicks,""7 rue de la Plage, Plomodiern, 29550, 法國"""
"Duende,""Quai de la Fontaine, Nîmes, 30900, 法國"""
"La Grenouillère, ""19 rue de la Grenouillère, La Madelaine-sous-Montreuil, 62170, 法國"""
"Lalique, ""Lieu-dit Peyraguey, Bommes, 33210, 法國"""
"Restaurant Le Meurice Alain Ducasse,""Le Meurice, 228 rue de Rivoli, Paris, 75001, 法國"""
"L'Oiseau Blanc,""19 avenue Kléber, Paris, 75116, 法國"""
"La Côte d'Or, ""Le Relais Bernard Loiseau, 2 avenue Bernard-Loiseau, Saulieu, 21210, 法國"""
"Maison Aribert, ""280 allée du Jeune-Bayard, Uriage-les-Bains, 38410, 法國"""
"La Fourchette des Ducs,""6 rue de la Gare, Obernai, 67210, 法國"""
"Michel Kayser, ""2 rue Xavier-Tronc, Garons, 30128, 法國"""
"Racine,""6 place Godinot, Reims, 51100, 法國"""
"Marsan par Hélène Darroze,""4 rue d'Assas, Paris, 75006, 法國"""
"Py, ""19 descente de la Halle-aux-Poissons, Toulouse, 31000, 法國"""
"David Toutain,""29 rue Surcouf, Paris, 75007, 法國"""
"Le Jules Verne, ""Tour Eiffel - 6 avenue Gustave-Eiffel, Paris, 75007, 法國"""
"Auberge de l'Ill, ""2 rue de Collonges-au-Mont-d'Or, Illhaeusern, 68970, 法國"""
"JY'S, ""3 allée du Champ-de-Mars, Colmar, 68000, 法國"""
"Le Puits Saint Jacques, ""57 avenue Victor-Capoul, Pujaudran, 32600, 法國"""
"La Table d'Olivier Nasti, ""9-13 rue du Général-de-Gaulle, Kaysersberg, 68240, 法國"""
"Le Pressoir d'Argent, ""InterContinental Bordeaux - Le Grand Hôtel, 2-5 place de la Comédie, Bordeaux, 33000, 法國"""
"Serge Vieira, ""Le Couffour, Chaudes-Aigues, 15110, 法國"""
"Le Grand Restaurant, ""7 rue d'Aguesseau, Paris, 75008, 法國"""
"L'Orangerie, ""Four Seasons George V, 31 avenue George-V, Paris, 75008, 法國"""
"Château de Beaulieu, ""1098 route de Lillers, Busnes, 62350, 法國"""
"Jean Sulpice, ""303 route du Port, Talloires-Montmin, 74290, 法國"""
"La Grand'Vigne, ""Chemin de Smith-Haut-Lafitte, Martillac, 33650, 法國"""
"Guy Savoy,""11 quai de Conti, Paris, 75006, 法國"""
"Le Pré, ""Route de la Baraque, Clermont-Ferrand, 63000, 法國"""
"Le Taillevent,""15 rue Lamennais, Paris, 75008, 法國"""
"La Côte Saint, ""14 faubourg de Paris, Joigny, 89300, 法國"""
"La Merise,""7 rue d'Eschbach, Laubach, 67580, 法國"""
"Table, ""3 rue de Prague, Paris, 75012, 法國"""
"Palais Royal Restaurant,""110 Galerie de Valois, Paris, 75001, 法國"""
"L'Auberge de Montmin, ""1983 route de Talloires, Col de la Forclaz, Talloires-Montmin, 74210, 法國"""
"Bras,""Route de l'Aubrac, Laguiole, 12210, 法國"""
"Cédric Burtin, ""Chemin de Martorez, Saint-Rémy, 71100, 法國"""
"Le Sarkara,""Le K2 Palace, 238 rue des Clarines, Courchevel 1850, Courchevel, 73120, 法國"""
"Le Skiff Club, ""1 avenue Louis-Gaume, Pyla-sur-Mer, 33115, 法國"""
"Takao Takano,""33 rue Malesherbes, Lyon, 69006, 法國"""
"Les Morainières,""1400 route de Marétel, Jongieux, 73170, 法國"""
"Blue Bay Marcel Ravin, ""40 avenue Princesse-Grace, Monaco, 98000, 法國"""
"Villa René Lalique, ""18 rue Bellevue, Wingen-sur-Moder, 67290, 法國"""
"La Table de Pavie, ""5 place du Clocher, Saint-Émilion, 33330, 法國"""
"René et Maxime Meilleur, ""Hameau de Saint-Marcel, Saint-Martin-de-Belleville, 73440, 法國"""
